Compound,outputs,inputs
"4,5-Dihydro-2-mercaptoimidazole",COX-2 inhibition,"Using semi-empirical AM1 calculation and 6.31G basis sets, we have calculated the energy of the highest-occupied molecular orbital EHOMO for anti-inflammatory 4,5-diarylpyrroles which have been shown to have inhibitory activity on cyclooxygenase COX-2, an inducible enzyme expressed during inflammation. We have found a correlation between the EHOMO of a molecule and its COX-2 inhibition. However, no correlation was observed between EHOMO and the inhibition efficiency of cyclooxygenase-1 COX-1, the constitutively expressed enzyme, protective to the organism. This result suggests that the inhibitions of the two isoforms follow different molecular mechanisms."
"4,5-Dihydro-2-mercaptoimidazole",COX-2 inhibition,"Nonsteroidal anti-inflammatory drug usage has long revealed renoprotective prostaglandin actions on the renal microvasculature during increased pressor hormone influence, but whether increased cyclooxygenase COX-2 expression supports prostaglandin vasodilatory influence by interfering with the actions of ANG II remains unresolved. Therefore, we tested the hypothesis that COX-2 inhibition causes hemodynamic and excretory effects that are increased in proportion to ANG II activity. In anesthetized Sprague-Dawley rats having augmented cortical COX-2 expression but different ANG II activity, we conducted renal clearance experiments during acute inhibition of COX-2 with nimesulide NMSLD and inhibition of COX-1 with SC-560. In one series of experiments, acute captopril acute angiotensin-converting enzyme ACE inhibitor aACEi was administered alone n = 13 or in combination with chronic captopril chronic ACEi cACEi pretreatment n = 19. In another series of experiments, rats were fed a normal-sodium 0.4 NS, n = 12 or a low-sodium 0.03 LS, n = 18 diet. NMSLD did not alter mean arterial blood pressure in any group but, in the LS and cACEi groups, decreased renal plasma flow from 3.99  0.33 to 2.85  0.26 and from 4.30  0.19 to 3.22  0.21 mlmin-1g-1, cortical blood flow -12  8 and -13  4, and glomerular filtration rate from 0.88  0.04 to 0.65  0.05 and from 0.95  0.07 to 0.70  0.05 mlmin-1g-1. In contrast, medullary blood flow MBF was significantly decreased by COX-2 inhibition in NS -24  5, LS -27  8, aACEi -16  3.8, and cACEi -24  4.2 groups. Absolute and fractional sodium excretion rates were unchanged by NMSLD, except in the LS group 0.75  0.05 eq/min and 0.43  0.15 and 0.51  0.06 eq/min and 0.26  0.10. SC-560 did not augment the effects of NMSLD. These results demonstrate an augmented COX-2-mediated vasodilation that is not contingent on ANG II, in contrast to COX-2-mediated augmented sodium excretion, where ANG II activity is requisite. Furthermore, the COX-2 effects on MBF are not contingent on ANG II or changes in cortical microvascular responses. These results reflect COX-2 continual regulation of MBF and adaptive opposition to ANG II prohypertensinogenic effects on renal plasma flow, cortical blood flow, glomerular filtration rate, and absolute and fractional sodium excretion."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"BACKGROUND Tumor necrosis factor-related apoptosis-inducing ligand TRAIL is a promising anticancer agent which selectively kills cancer cells with little effect on normal cells. However, TRAIL resistance is widely found in cancer cells. We have previously reported antimetatstatic and antiangiogenic effects of vanillin, a flavoring agent from vanilla. Here we have evaluated the sensitizing effect of vanillin on a TRAIL-resistant human cervical cancer cell line, HeLa.   MATERIALS AND METHODS Cell viability after treatments was determined by the WST-1 cell counting kit. Apoptosis was demonstrated by detection of caspase-3 activation and cleavage of poly ADP-ribose polymerase using immunoblot analysis. Effect of treatments on TRAIL signaling pathway and nuclear factor kappaB FN-kappaB activation was studied using immunoblot analysis and luciferase reporter assay.   RESULTS Pretreatment of HeLa cells with vanillin enhanced TRAIL-induced cell death through the apoptosis pathway. Vanillin pretreatment inhibited TRAIL-induced phosphorylation of p65 and transcriptional activity of NF-kappaB.   CONCLUSION Vanillin sensitizes HeLa cells to TRAIL-induced apoptosis by inhibiting NF-kappaB activation."
"4,5-Dihydro-2-mercaptoimidazole",AChE inhibition,"In this study, we attempted to derive a comprehensive SAR picture for the class of acetylcholinesterase AChE inhibitors related to tacrine, a drug currently in use for the treatment of the Alzheimers disease. To this aim, we synthesized and tested a series of 9-amino-1,2,3,4-tetrahydroacridine derivatives substituted in the positions 6 and 7 of the acridine nucleus and bearing selected groups on the 9-amino function. By means of the Hansch approach, QSAR equations were obtained, quantitatively accounting for both the detrimental steric effect of substituents in position 7 and the favorable electron-attracting effect exerted by substituents in positions 6 and 7 of the 9-amino-1,2,3,4-tetrahydroacridine derivatives. The three-dimensional 3D properties of the inhibitors were taken into consideration by performing a CoMFA analysis on the series of AChE inhibitors made by 12 9-amino-1,2,3, 4-tetrahydroacridines and 13 11H-indeno1,2-bquinolin-10-ylamines previously developed in our laboratory. The alignment of the molecules to be submitted to the CoMFA procedure was carried out by taking advantage of docking models calculated for the interactions of both the unsubstituted 9-amino-1,2,3,4-tetrahydroacridine and 11H-indeno1,2-bquinolin-10-ylamine with the target enzyme. A highly significant CoMFA model was obtained using the steric field alone, and the features of such a 3D QSAR model were compared with the classical QSAR equations previously calculated. The two models appeared consistent, the main aspects they had in common being a the individuation of the strongly negative contribution of the substituents in position 7 of tacrine and b a tentative assignment of the hydrophobic character to the favorable effect exerted by the substituents in position 6. Finally, a new previously unreported tacrine derivative designed on the basis of both the classical and the 3D QSAR equations was synthesized and kinetically evaluated, to test the predictive ability of the QSAR models. The 6-bromo-9-amino-1,2,3,4-tetrahydroacridine was predicted to have a pIC50 value of 7.31 by the classical QSAR model and 7.40 by the CoMFA model, while its experimental IC50 value was equal to 0.066 /-0.009 microM, corresponding to a pIC50 of 7.18, showing a reasonable agreement between predicted and observed AChE inhibition data."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"Apoptosis involves mitochondrial steps such as the release of the apoptogenic factor cytochrome c which are effectively blocked by Bcl-2. Although Bcl-2 may have a direct action on the mitochondrial membrane, it also resides and functions on the endoplasmic reticulum ER, and there is increasing evidence for a role of the ER in apoptosis regulation as well. Here we uncover a hitherto unrecognized, apoptotic crosstalk between the ER and mitochondria that is controlled by Bcl-2. After triggering massive ER dilation due to an inhibition of secretion, the drug brefeldin A BFA induces the release of cytochrome c from mitochondria in a caspase-8- and Bid-independent manner. This is followed by caspase-3 activation and DNA/nuclear fragmentation. Surprisingly, cytochrome c release by BFA is not only blocked by wild-type Bcl-2 but also by a Bcl-2 variant that is exclusively targeted to the ER Bcl-2/cb5. Similar findings were obtained with tunicamycin, an agent interfering with N-linked glycosylations in the secretory system. Thus, apoptotic agents perturbing ER functions induce a novel crosstalk between the ER and mitochondria that can be interrupted by ER-based Bcl-2."
"4,5-Dihydro-2-mercaptoimidazole",AChE inhibition,"Acetylcholinesterase is a prime target for therapeutic intervention in Alzheimers disease. Acetylcholinesterase inhibitors AChEIs are used to improve cognitive abilities, playing therefore an important role in disease management. Drug repurposing screening has been performed on a corporate chemical library containing 11 353 compounds using a target fishing approach comprising three-dimensional 3D shape similarity and pharmacophore modeling against an approved drug database, Drugbank. This initial screening identified 108 hits. Among them, eight molecules showed structural similarity to the known AChEI drug, pyridostigmine. Further structure-based screening using a pharmacophore-guided rescoring method identifies one more potential hit. Experimental evaluations of the identified hits sieve out a highly selective AChEI scaffold. Further lead optimization using a substructure search approach identifies 24 new potential hits. Three of the 24 compounds compounds 10b, 10h, and 10i based on a 6-2-pyrrolidin-1-ylpyrimidin-4-yl-thiazolo3,2-apyrimidine scaffold showed highly promising AChE inhibition ability with IC50 values of 13.10  0.53, 16.02  0.46, and 6.22  0.54 M, respectively. Moreover, these compounds are highly selective toward AChE. Compound 10i shows AChE inhibitory activity similar to a known Food and Drug Administration FDA-approved drug, galantamine, but with even better selectivity. Interaction analysis reveals that hydrophobic and hydrogen-bonding interactions are the primary driving forces responsible for the observed high affinity of the compound with AChE."
"4,5-Dihydro-2-mercaptoimidazole",L-type calcium channel blockade,"The aim of the present investigation was to compare the antiepileptic efficacy of the specific L-type calcium channel blocker nifedipine in hippocampal and neocortical slice preparations in the Mg2-free model of epilepsy. The main findings were as follows. 1 In hippocampal slices, in general, nifedipine 20-80 micromol/l exerted a suppressive effect both on repetition rate and on area under epileptiform field potentials. This effect was clearly dose dependent. In the majority of cases, this suppression was preceded by an increase, which was transient in nature. Only in the lowest concentration 20 micromol/l used, in normal K, instead of a depression, a persistent increase occurred. 2 In neocortical slices, in the majority of experiments, nifedipine 20-80 micromol/l showed a depressive action only on the area under the epileptiform field potentials. The depressive effect of nifedipine on the area was dose dependent, although to a lesser extent than in the hippocampus. In nearly half of the slices this suppression was preceded by a transient increase. By contrast, the repetition rate of epileptiform field potentials increased transiently in about 20 of the slices followed by a decrease. In the remaining 80 of the slices the repetition rate increased persistently. 3 An elevation of the K concentration accentuated the depressive actions of nifedipine only in the hippocampus. In contrast to elevated K, in both the hippocampus and the neocortex, epileptiform field potentials were not suppressed in all experiments in normal K. 4 The reversibility of the depressive effects of nifedipine was differential in the two tissue types. In the hippocampus, after suppression of epileptiform field potentials they reappeared in the overwhelming majority of slices. In the neocortex, this was the case in only one experiment. These findings may indicate the existence of L-type calcium channels with a differential functional significance for epileptogenesis and/or the existence of different forms of L-type channels in hippocampal and neocortical tissue. As a whole, the differential effects of L-type calcium channel blockade in the hippocampus and neocortex point to differences in the network properties of the two tissue types."
"4,5-Dihydro-2-mercaptoimidazole",COX-2 inhibition,"Nonsteroidal anti-inflammatory drugs have potential for use in the prevention and/or treatment of colorectal cancer. We have studied the cytotoxic effect of a specific COX-2 inhibitor, celecoxib, against LLC, HCA-7, and HCT-15 cells grown in cell culture and have compared these results with its effect on HCA-7 cells grown as xenografts in nude mice. ""High-dose"" celecoxib gt20 microM reduced the viability of all three cell lines in vitro as measured by the 3-4,5-dimethylthiazol-2-yl-2,5-diphenyltetrazolium bromide assay. Flow cytometric analysis demonstrated that this loss of viability was attributable to the induction of apoptosis. Significantly, concentrations of the drug lt10 microM had no effect on cell viability in vitro. The cytotoxic effects of high-dose celecoxib were independent of COX-2 inhibition because similar effects were observed in cox-2 /, cox-2 /- and cox-2 -/- fibroblasts. A plasma concentration of 2.3/-0.7 microM was achieved when celecoxib 1250 mg/kg of chow was fed to animals ad libitum. Despite a lack of toxicity at 2-3 microM celecoxib in vitro, there was attenuation of HCA-7 xenograft growth in vivo. Celecoxib had no effect on apoptosis, cell division, or the epithelial architecture of the normal gut in treated mice. These results support the need for additional clinical evaluation of celecoxib for treatment and/or prevention of colorectal cancer in humans."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"Platelet activating factor PAF has been suggested to play a critical role in the pathogenesis of neurological disorders. We assessed the effect of PAF against the toxicity of 1-methyl-4-phenylpyridinium MPP, a parkinsonian toxin, in relation to apoptotic process. PAF exhibited differential effect against the MPP toxicity in differentiated PC12 cells depending on concentration. Treatment with 0.75 microM PAF significantly attenuated the MPP-induced increase in Bax levels, decrease in Bid and Bcl-2 levels, and mitochondrial membrane potential loss that lead to the release of cytochrome c and subsequent caspase-3 activation. The inhibitory effect of PAF was not associated with nuclear factor-kappaB activation. In contrast, PAF at the concentrations greater than 2.5 microM exhibited a toxicity and additive effect on the MPP toxicity. The results show that PAF at low concentrations, which does not induce a significant toxicity, may prevent the MPP toxicity by suppressing the apoptosis-related protein activation and mitochondrial membrane permeability change that lead to the cytochrome c release and caspase-3 activation. The preventive effect seems to be associated with the inhibitory effect on the formation of reactive oxygen species and depletion of GSH. In contrast, PAF at higher concentrations may exhibit an additive toxic effect against the MPP toxicity by increasing apoptosis-related protein activation."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"Using conditionally replicating adenoviral vectors CRAds is a promising strategy in the treatment of solid tumors. The prospective of this study was to design a novel CRAd for the treatment of gastrointestinal cancer and show its efficacy in vitro, as well as in vivo. To determine if aberrant wnt signaling in tumor cells can be used to selectively drive viral replication, we analyzed six colorectal and hepatocellular cell lines, as well as 13 colorectal tumors and 17 gastric tumors, for -catenin mutation status or aberrant wnt signaling, both of which were found frequently. Based on these findings, a novel CRAd Ad5F11.wnt-E1A-hIL24 containing an E1A expression cassette driven by an artificial wnt promoter and delivering an apoptosis-inducing gene, interleukin-24 IL24, was engineered. To enhance infection efficiency, the virus was pseudotyped by replacing adenovirus serotype 5 Ad5 with Ad11 fiber. Ad5F11.wnt-E1A-hIL24 virus exhibited high selectivity toward cells with aberrant wnt signaling both in vitro and in mouse xenograft tumors. Transduction efficiency was significantly improved compared with that of nonpseudotyped control viruses. The proliferation of tumor cell lines, as well as tumor growth, in mouse xenografts could be profoundly inhibited by viral infection with Ad5F11.wnt-E1A-hIL24. The therapeutic effect was associated with increased apoptosis through caspase-3 activation. In addition, Ad5F11b vector exhibited a more favorable biodistribution, blood clearance, and transgene expression compared with conventional Ad5 vector after systemic or intratumoral injection in human gastrointestinal cancer xenografts. We think that our approach is a promising strategy in the treatment of gastrointestinal cancer, warranting further clinical investigation."
